time,open,high,low,close,volume
2024-01-02,87.05,88.06,87.0,87.58,34702000
2024-01-03,87.62,87.92,87.26,87.8,31183200
2024-01-04,87.8,88.15,87.31,87.73,43019000
2024-01-05,87.75,88.18,87.3,87.93,38998900
2024-01-08,87.93,88.55,87.54,87.79,31658800
2024-01-09,87.81,88.11,87.44,87.72,39077200
2024-01-10,87.73,87.81,86.84,87.15,34195100
2024-01-11,87.15,87.69,87.07,87.56,34408300
2024-01-12,87.56,87.67,86.76,86.9,47890400
2024-01-15,86.91,87.2,86.5,86.61,24287500
2024-01-16,86.63,87.02,86.34,87.02,21626500
2024-01-17,87.03,87.42,86.76,86.96,24150500
2024-01-18,86.95,87.34,86.8,87.16,27429600
2024-01-19,87.17,87.51,87.0,87.46,37741300
2024-01-22,87.47,87.72,87.13,87.72,30432000
2024-01-23,87.72,87.76,87.1,87.45,25764800
2024-01-24,87.45,87.64,87.11,87.64,34674800
2024-01-25,87.64,87.87,87.37,87.68,24751400
2024-01-26,87.68,88.17,87.25,87.7,38993100
2024-01-29,87.7,87.91,87.41,87.6,25187800
2024-01-30,87.6,87.89,87.04,87.85,29201100
2024-01-31,87.85,88.22,87.36,87.69,31925400
2024-02-01,87.69,88.05,87.53,88.02,26448000
2024-02-02,88.04,88.38,87.96,88.37,34854900
2024-02-05,88.38,88.53,88.17,88.53,27513100
2024-02-06,88.51,88.9,88.5,88.86,21925400
2024-02-07,88.87,89.33,88.68,89.33,20554400
2024-02-15,89.33,90.06,89.25,90.06,27456600
2024-02-16,90.06,90.21,89.61,90.06,38941900
2024-02-19,90.07,90.65,89.96,90.45,52800200
2024-02-20,90.46,90.66,90.12,90.53,35016100
2024-02-21,90.53,90.62,90.04,90.61,33567500
2024-02-22,90.61,90.96,90.26,90.57,53629400
2024-02-23,90.58,90.95,89.92,90.16,72256500
2024-02-26,90.18,90.49,89.71,90.49,37011700
2024-02-27,90.5,90.51,90.04,90.4,42534800
2024-02-28,90.4,90.68,90.24,90.54,41103600
2024-02-29,90.57,91.0,90.18,90.63,32144800
2024-03-01,90.63,91.19,90.63,91.16,53103100
2024-03-04,91.16,91.5,91.05,91.13,40667800
2024-03-05,91.13,91.78,91.02,91.78,34476900
2024-03-06,91.78,91.9,90.84,91.24,40712600
2024-03-07,91.25,91.61,91.12,91.61,41842500
2024-03-08,91.61,91.73,91.04,91.23,52310100
2024-03-11,91.24,91.47,90.5,90.66,34523200
2024-03-12,90.66,90.94,90.64,90.77,33016400
2024-03-13,90.79,91.54,90.71,91.53,46981100
2024-03-14,91.55,91.95,91.3,91.62,46507500
2024-03-15,91.62,91.74,90.91,91.35,50884900
2024-03-18,91.35,91.45,89.39,90.32,55007500
2024-03-19,90.32,90.68,90.22,90.6,28778400
2024-03-20,90.59,90.77,90.25,90.54,34749100
2024-03-21,90.55,90.82,90.33,90.82,37937800
2024-03-22,90.83,91.3,90.71,90.95,58876600
2024-03-25,90.96,91.48,90.8,91.09,36530900
2024-03-26,91.1,91.24,90.91,91.2,29158000
2024-03-27,91.22,91.46,90.91,91.18,38673700
2024-03-28,91.19,91.54,91.16,91.48,33671600
2024-03-29,91.49,91.76,91.35,91.57,38493900
2024-04-01,91.57,91.63,91.21,91.33,29663500
2024-04-02,91.33,91.41,90.8,91.4,45346900
2024-04-03,91.41,91.55,91.09,91.15,47241800
2024-04-04,91.15,91.25,90.76,91.01,36558100
2024-04-05,91.01,91.04,90.33,90.65,76641500
2024-04-08,90.66,90.94,90.42,90.53,35508700
2024-04-09,90.53,90.62,90.1,90.57,36853600
2024-04-10,90.57,91.09,90.5,90.65,36503300
2024-04-11,90.65,90.94,90.32,90.92,26652200
2024-04-12,90.92,91.37,90.8,91.21,62966700
2024-04-15,91.21,91.23,88.74,88.98,67162900
2024-04-16,88.99,89.08,87.49,88.63,56284400
2024-04-17,88.63,88.93,88.02,88.15,42741500
2024-04-19,88.15,88.17,86.62,87.16,63998600
2024-04-22,87.16,88.06,87.16,88.02,33894100
2024-04-23,88.02,88.29,87.27,87.51,24683000
2024-04-24,87.51,88.45,87.47,88.37,23410100
2024-04-25,88.37,88.56,87.9,88.33,18480700
2024-04-26,88.33,88.81,88.26,88.76,30638300
2024-05-02,88.76,89.7,88.56,89.7,19429300
2024-05-03,89.69,90.49,89.39,89.78,29483200
2024-05-06,89.79,90.67,89.79,90.65,40573000
2024-05-07,90.64,91.31,90.6,91.1,40307200
2024-05-08,91.1,91.69,90.87,91.57,55495500
2024-05-09,91.57,92.11,91.52,91.91,49890300
2024-05-10,91.91,92.17,91.16,91.72,58965900
2024-05-13,91.74,92.14,91.13,91.48,38532000
2024-05-14,91.5,92.01,91.26,91.62,40488100
2024-05-15,91.63,92.3,91.63,92.1,43798300
2024-05-16,92.12,92.77,92.12,92.7,55716500
2024-05-17,92.71,93.27,92.59,93.07,63477300
2024-05-20,93.21,93.65,93.12,93.53,57546600
2024-05-21,93.53,94.54,93.49,94.45,137325200
2024-05-22,94.45,95.28,94.32,94.7,105105700
2024-05-23,94.71,95.22,94.16,95.17,89095200
2024-05-24,95.13,95.79,93.67,94.4,111332200
2024-05-27,94.37,95.13,94.29,94.87,49941000
2024-05-28,94.88,95.62,94.8,95.62,59547800
2024-05-29,95.62,96.42,95.62,95.92,82132900
2024-05-30,95.92,95.94,94.77,95.8,63089100
2024-05-31,95.8,96.2,95.55,95.88,96088900
2024-06-03,95.88,97.05,95.85,96.93,54223000
2024-06-04,96.89,97.16,96.63,97.0,70011300
2024-06-05,96.97,97.71,96.97,97.46,61487800
2024-06-06,97.46,98.56,97.46,98.32,62400900
2024-06-07,98.32,98.87,98.19,98.86,95700200
2024-06-10,98.87,99.71,98.85,99.56,61561800
2024-06-11,99.56,99.74,98.47,98.95,68724300
2024-06-12,98.96,99.14,97.95,99.14,73496000
2024-06-13,99.14,99.45,98.67,99.02,60026000
2024-06-14,99.02,99.17,97.83,98.05,104997600
2024-06-17,98.05,98.27,97.61,98.09,49129300
2024-06-18,98.09,98.62,97.91,98.31,58438800
2024-06-19,98.31,98.46,97.61,98.36,52051900
2024-06-20,98.38,99.27,98.21,99.27,60238600
2024-06-21,99.28,100.59,99.28,100.58,110682700
2024-06-24,100.58,101.25,98.69,99.06,92299400
2024-06-25,99.06,99.28,98.29,98.83,53508400
2024-06-26,98.81,99.01,98.1,98.9,49935900
2024-06-27,98.9,99.07,98.14,98.53,41372700
2024-06-28,98.52,98.72,96.8,97.54,79451300
2024-07-01,97.54,97.62,96.53,97.3,38790300
2024-07-02,97.26,97.58,97.18,97.58,36284300
2024-07-03,97.58,97.9,97.46,97.9,35544200
2024-07-04,97.91,98.39,97.9,98.26,58591600
2024-07-05,98.26,98.76,98.01,98.26,60082800
2024-07-08,98.27,98.75,98.08,98.58,51723000
2024-07-09,98.59,99.25,98.55,99.25,60608400
2024-07-10,99.26,99.6,98.64,98.7,59344500
2024-07-11,98.68,99.3,98.24,98.32,43684200
2024-07-12,98.32,98.58,97.78,98.14,60655200
2024-07-15,98.15,98.41,97.53,97.92,38087300
2024-07-16,97.92,98.49,97.9,98.26,58734900
2024-07-17,98.22,98.77,96.34,97.27,87148800
2024-07-18,97.23,97.71,96.38,97.61,50323800
2024-07-19,97.63,98.04,96.49,96.78,52138500
2024-07-22,96.66,96.82,94.88,95.65,59273200
2024-07-23,95.64,95.8,94.05,94.4,52319100
2024-07-24,94.4,94.54,93.28,94.53,41582800
2024-07-25,94.54,94.63,93.89,94.51,28902600
2024-07-26,94.51,95.18,94.39,95.18,41099000
2024-07-29,95.18,95.73,95.11,95.46,31669600
2024-07-30,95.47,95.58,94.82,95.24,32804300
2024-07-31,95.24,95.44,94.67,95.07,41188200
2024-08-01,95.07,95.25,93.04,93.52,51225300
2024-08-02,93.51,93.79,92.35,93.77,52898500
2024-08-05,93.77,93.77,90.44,90.79,57457700
2024-08-06,90.79,92.26,90.69,92.22,32890900
2024-08-07,92.23,92.41,91.62,92.03,31284700
2024-08-08,92.04,92.62,91.85,92.12,40556400
2024-08-09,92.13,92.88,92.13,92.8,42266200
2024-08-12,92.82,93.4,92.57,93.0,36172800
2024-08-13,93.01,93.27,92.49,92.79,42132600
2024-08-14,92.8,93.06,92.3,92.65,34618900
2024-08-15,92.65,92.9,92.01,92.18,27288900
2024-08-16,92.18,93.45,92.17,93.44,69031700
2024-08-19,93.45,93.87,93.42,93.72,39917600
2024-08-20,93.73,94.23,93.61,94.1,43307400
2024-08-21,94.11,94.48,94.07,94.48,50278300
2024-08-22,94.49,94.79,94.23,94.49,31676300
2024-08-23,94.49,94.58,93.96,94.41,44769100
2024-08-26,94.4,94.75,93.9,94.16,31620300
2024-08-27,94.16,94.21,93.79,94.15,29834700
2024-08-28,94.15,94.31,93.66,94.13,29554800
2024-08-29,94.14,94.3,93.57,93.85,21907900
2024-08-30,93.85,94.17,93.73,94.17,29795800
2024-09-04,94.17,94.2,93.47,93.75,31179200
2024-09-05,93.76,94.07,93.25,93.47,30349800
2024-09-06,93.47,93.8,92.96,93.37,31515800
2024-09-09,93.37,93.43,92.83,93.0,22029300
2024-09-10,93.01,93.28,92.29,92.36,28783600
2024-09-11,92.36,92.5,91.81,92.32,22299200
2024-09-12,92.32,92.76,92.05,92.73,19241900
2024-09-13,92.73,93.0,92.34,92.95,27909500
2024-09-16,92.95,93.14,92.01,92.57,21138900
2024-09-17,92.58,93.12,92.22,93.12,23617800
2024-09-18,93.12,93.47,92.89,93.47,35419600
2024-09-19,93.48,93.63,92.34,93.63,37629200
2024-09-20,93.63,94.01,93.34,93.63,52320800
2024-09-23,93.64,93.85,93.17,93.65,25879100
2024-09-24,93.66,93.93,93.35,93.81,28065700
2024-09-25,93.81,93.82,93.02,93.5,38644500
2024-09-26,93.5,93.7,93.23,93.5,53702800
2024-09-27,93.52,94.34,93.4,93.9,71051700
2024-09-30,93.96,94.17,93.08,93.56,39886600
2024-10-01,93.57,93.76,93.18,93.28,49987700
2024-10-02,93.28,93.33,92.77,93.28,35734100
2024-10-03,93.29,93.68,92.54,92.68,52702700
2024-10-04,92.69,92.84,92.11,92.37,39604200
2024-10-07,92.37,92.87,92.11,92.47,25846900
2024-10-08,92.47,92.72,92.08,92.45,32824100
2024-10-09,92.45,92.53,91.95,92.45,27164700
2024-10-10,92.45,92.95,92.34,92.57,31045800
2024-10-11,92.58,92.74,92.13,92.6,36283000
2024-10-14,92.6,92.93,92.26,92.38,26648100
2024-10-15,92.39,92.65,91.96,92.17,38610600
2024-10-16,92.18,92.44,91.9,92.32,20650900
2024-10-17,92.32,92.7,91.96,92.7,23426700
2024-10-18,92.7,93.0,92.51,92.7,29426300
2024-10-21,92.7,92.87,91.99,92.14,29049200
2024-10-22,92.15,92.17,91.61,91.73,34284600
2024-10-23,91.73,92.12,91.42,92.12,19934900
2024-10-24,92.13,92.23,91.78,92.06,27924200
2024-10-25,92.06,92.09,91.46,91.82,42322400
2024-10-28,91.83,92.15,91.82,92.15,17695900
2024-10-29,92.15,92.4,91.93,92.32,19235800
2024-10-30,92.33,92.82,92.07,92.46,24912600
2024-10-31,92.47,92.56,92.05,92.38,28369100
2024-11-01,92.39,92.51,91.63,91.96,35940600
2024-11-04,91.97,92.2,91.46,91.61,20426300
2024-11-05,91.61,91.91,91.56,91.9,16078500
2024-11-06,91.91,92.72,91.86,92.71,24900700
2024-11-07,92.72,92.88,92.21,92.32,19318700
2024-11-08,92.33,92.45,91.9,92.15,29704000
2024-11-11,92.16,92.4,91.88,92.4,32821700
2024-11-12,92.4,92.83,92.12,92.39,24573400
2024-11-13,92.39,92.42,91.65,92.35,28145100
2024-11-14,92.35,92.38,91.73,91.87,31263100
2024-11-15,91.87,91.92,91.16,91.33,39479500
2024-11-18,91.34,91.86,91.03,91.64,23915000
2024-11-19,91.67,91.68,90.15,90.3,22077000
2024-11-20,90.3,91.12,90.24,91.09,26523300
2024-11-21,91.1,91.54,90.98,91.5,26470000
2024-11-22,91.51,91.83,90.98,91.7,31446400
2024-11-25,91.7,91.9,91.18,91.82,18992900
2024-11-26,91.82,92.24,91.55,92.06,20028600
2024-11-27,92.07,92.36,91.46,91.96,24413100
2024-11-28,91.97,92.6,91.84,92.35,22909400
2024-11-29,92.35,92.74,92.05,92.74,29072200
2024-12-02,92.74,92.85,92.3,92.44,20353900
2024-12-03,92.45,92.67,91.99,92.44,20136800
2024-12-04,92.44,92.57,92.02,92.44,23092300
2024-12-05,92.47,92.95,92.19,92.95,41983600
2024-12-06,92.95,93.21,92.55,92.81,42647000
2024-12-09,92.81,93.0,92.43,92.91,27096700
2024-12-10,92.91,93.23,92.45,92.74,39142900
2024-12-11,92.74,93.23,92.5,92.74,39343700
2024-12-12,92.75,93.01,92.43,92.68,32515600
2024-12-13,92.68,92.92,92.33,92.54,41950000
2024-12-16,92.54,92.9,92.37,92.64,26681700
2024-12-17,92.58,92.98,92.39,92.77,22708900
2024-12-18,92.77,93.14,92.77,93.07,39745100
2024-12-19,93.07,93.12,92.29,92.73,42545000
2024-12-20,92.73,93.41,92.64,93.39,66522700
2024-12-23,93.14,93.74,93.14,93.72,43975000
2024-12-24,93.72,94.08,93.55,94.02,56636500
2024-12-25,94.02,94.61,93.96,94.59,62221600
2024-12-26,94.6,94.98,94.17,94.41,42933900
2024-12-27,94.22,94.78,94.12,94.48,56483500
2024-12-30,94.48,95.0,94.14,95.0,26626600
2024-12-31,95.01,95.32,94.6,95.06,37381700
