period,quarter,year,price_to_earning,price_to_book,roe,earning_per_share,company
2024-Q4,4,2024,7.0,1.4,0.217,3758.0,ACB
2024-Q3,3,2024,7.1,1.5,0.223,3638.0,ACB
2024-Q2,2,2024,6.5,1.4,0.239,3675.0,ACB
2024-Q1,1,2024,6.8,1.4,0.23,3540.0,ACB
2023-Q4,4,2023,5.6,1.3,0.248,3592.0,ACB
2023-Q3,3,2023,5.5,1.2,0.243,3337.0,ACB
2023-Q2,2,2023,5.7,1.3,0.252,3236.0,ACB
2023-Q1,1,2023,5.4,1.3,0.263,3254.0,ACB
2022-Q4,4,2022,5.0,1.2,0.265,3064.0,ACB
2022-Q3,3,2022,5.3,1.2,0.27,2965.0,ACB
2022-Q2,2,2022,6.4,1.4,0.254,2633.0,ACB
2022-Q1,1,2022,8.0,1.7,0.242,2329.0,ACB
2021-Q4,4,2021,9.3,2.0,0.239,2472.0,ACB
2021-Q3,3,2021,10.1,2.3,0.258,2503.0,ACB
2021-Q2,2,2021,11.4,2.7,0.272,2496.0,ACB
2021-Q1,1,2021,9.6,2.2,0.256,2221.0,ACB
2020-Q4,4,2020,7.9,1.7,0.243,2274.0,ACB
2020-Q3,3,2020,7.3,1.5,0.229,1978.0,ACB
2020-Q2,2,2020,6.2,1.2,0.225,1823.0,ACB
2020-Q1,1,2020,4.8,1.0,0.238,1826.0,ACB
2019-Q4,4,2019,6.3,1.4,0.246,2219.0,ACB
2019-Q3,3,2019,6.7,1.5,0.259,2151.0,ACB
2019-Q2,2,2019,6.6,1.6,0.264,2062.0,ACB
2019-Q1,1,2019,7.2,1.7,0.271,1983.0,ACB
2018-Q4,4,2018,7.4,1.8,0.277,1901.0,ACB
2018-Q3,3,2018,10.0,2.2,0.263,1614.0,ACB
2018-Q2,2,2018,11.0,2.2,0.217,1332.0,ACB
2018-Q1,1,2018,18.7,3.0,0.175,1030.0,ACB
2017-Q4,4,2017,17.6,2.3,0.141,783.0,ACB
2017-Q3,3,2017,16.7,2.0,0.135,686.0,ACB
2017-Q2,2,2017,15.9,1.8,0.116,607.0,ACB
2017-Q1,1,2017,16.6,1.7,0.108,552.0,ACB
2016-Q4,4,2016,13.4,1.3,0.099,490.0,ACB
2016-Q3,3,2016,14.3,1.2,0.089,433.0,ACB
2016-Q2,2,2016,15.6,1.3,0.087,415.0,ACB
2016-Q1,1,2016,15.9,1.3,0.082,392.0,ACB
2015-Q4,4,2015,17.7,1.4,0.082,381.0,ACB
2015-Q3,3,2015,18.4,1.4,0.077,358.0,ACB
2015-Q2,2,2015,19.9,1.5,0.077,351.0,ACB
2015-Q1,1,2015,15.0,1.2,0.077,363.0,ACB
2024-Q4,4,2024,39.7,4.3,0.112,2034.0,BCM
2024-Q3,3,2024,25.7,3.7,0.154,2692.0,BCM
2024-Q2,2,2024,24.5,3.5,0.149,2569.0,BCM
2024-Q1,1,2024,26.8,3.6,0.139,2384.0,BCM
2023-Q4,4,2023,26.3,3.5,0.139,2358.0,BCM
2023-Q3,3,2023,156.5,4.1,0.026,431.0,BCM
2023-Q2,2,2023,184.2,4.7,0.025,417.0,BCM
2023-Q1,1,2023,65.6,4.9,0.076,1227.0,BCM
2022-Q4,4,2022,50.6,4.8,0.099,1548.0,BCM
2022-Q3,3,2022,49.4,5.2,0.112,1769.0,BCM
2022-Q2,2,2022,39.9,3.9,0.102,1620.0,BCM
2022-Q1,1,2022,59.0,4.4,0.076,1198.0,BCM
2021-Q4,4,2021,50.9,4.1,0.081,1229.0,BCM
2021-Q3,3,2021,26.0,3.0,0.116,1702.0,BCM
2021-Q2,2,2021,24.1,3.6,0.153,2221.0,BCM
2021-Q1,1,2021,27.8,3.6,0.135,2032.0,BCM
2020-Q4,4,2020,21.4,2.7,0.133,1891.0,BCM
2020-Q3,3,2020,20.0,2.7,0.144,1971.0,BCM
2020-Q2,2,2020,13.6,1.8,0.141,1880.0,BCM
2020-Q1,1,2020,7.4,1.1,0.163,2167.0,BCM
2019-Q4,4,2019,12.0,2.2,0.199,2444.0,BCM
2019-Q3,3,2019,12.4,2.4,0.201,2450.0,BCM
2019-Q2,2,2019,10.2,1.9,0.198,2357.0,BCM
2024-Q4,4,2024,11.3,1.9,0.192,3511.0,BID
2024-Q3,3,2024,12.3,2.1,0.189,3333.0,BID
2024-Q2,2,2024,11.0,1.9,0.191,3252.0,BID
2024-Q1,1,2024,13.8,2.3,0.191,3118.0,BID
2023-Q4,4,2023,11.7,2.0,0.198,3069.0,BID
2023-Q3,3,2023,11.7,1.9,0.186,2785.0,BID
2023-Q2,2,2023,11.0,2.0,0.202,2884.0,BID
2023-Q1,1,2023,11.9,2.2,0.209,2846.0,BID
2022-Q4,4,2022,10.8,1.9,0.198,2622.0,BID
2022-Q3,3,2022,10.6,1.7,0.181,2352.0,BID
2022-Q2,2,2022,13.0,1.8,0.151,1883.0,BID
2022-Q1,1,2022,19.1,2.4,0.139,1666.0,BID
2021-Q4,4,2021,17.8,2.2,0.132,1854.0,BID
2021-Q3,3,2021,17.8,2.1,0.124,1752.0,BID
2021-Q2,2,2021,21.2,2.5,0.127,1763.0,BID
2021-Q1,1,2021,23.1,2.4,0.108,1469.0,BID
2020-Q4,4,2020,26.9,2.4,0.094,1410.0,BID
2020-Q3,3,2020,18.9,2.0,0.126,1678.0,BID
2020-Q2,2,2020,18.2,1.9,0.125,1620.0,BID
2020-Q1,1,2020,15.3,1.5,0.122,1566.0,BID
2019-Q4,4,2019,43.2,4.7,0.134,1677.0,BID
2019-Q3,3,2019,42.0,5.1,0.135,1425.0,BID
2019-Q2,2,2019,34.0,4.2,0.137,1413.0,BID
2019-Q1,1,2019,37.4,4.9,0.145,1452.0,BID
2018-Q4,4,2018,17.9,2.4,0.151,1829.0,BID
2018-Q3,3,2018,16.2,2.5,0.177,2069.0,BID
2018-Q2,2,2018,12.3,1.9,0.17,2008.0,BID
2018-Q1,1,2018,23.5,3.3,0.153,1754.0,BID
2017-Q4,4,2017,14.1,2.0,0.156,1716.0,BID
2017-Q3,3,2017,13.0,1.6,0.13,1431.0,BID
2017-Q2,2,2017,12.2,1.6,0.141,1546.0,BID
2017-Q1,1,2017,10.3,1.4,0.146,1572.0,BID
2016-Q4,4,2016,8.5,1.2,0.147,1531.0,BID
2016-Q3,3,2016,9.3,1.3,0.153,1600.0,BID
2016-Q2,2,2016,9.5,1.4,0.166,1611.0,BID
2016-Q1,1,2016,9.6,1.3,0.158,1517.0,BID
2015-Q4,4,2015,11.5,1.8,0.17,1565.0,BID
2015-Q3,3,2015,14.1,2.1,0.165,1474.0,BID
2015-Q2,2,2015,13.5,2.1,0.161,1366.0,BID
2015-Q1,1,2015,10.6,1.6,0.154,1311.0,BID
2024-Q4,4,2024,19.0,1.8,0.095,2810.0,BVH
2024-Q3,3,2024,16.3,1.4,0.086,2571.0,BVH
2024-Q2,2,2024,18.5,1.5,0.083,2432.0,BVH
2024-Q1,1,2024,17.4,1.4,0.083,2398.0,BVH
2023-Q4,4,2023,16.6,1.3,0.083,2320.0,BVH
2023-Q3,3,2023,17.5,1.4,0.078,2297.0,BVH
2023-Q2,2,2023,18.9,1.5,0.077,2231.0,BVH
2023-Q1,1,2023,21.6,1.6,0.075,2136.0,BVH
2022-Q4,4,2022,21.6,1.6,0.074,2059.0,BVH
2022-Q3,3,2022,20.8,1.6,0.079,2305.0,BVH
2022-Q2,2,2022,19.6,1.6,0.083,2391.0,BVH
2022-Q1,1,2022,21.7,1.9,0.089,2537.0,BVH
2021-Q4,4,2021,20.2,1.8,0.091,2535.0,BVH
2021-Q3,3,2021,23.6,2.0,0.087,2443.0,BVH
2021-Q2,2,2021,23.4,2.0,0.09,2460.0,BVH
2021-Q1,1,2021,23.0,2.1,0.095,2551.0,BVH
2020-Q4,4,2020,31.1,2.4,0.079,2090.0,BVH
2020-Q3,3,2020,29.7,1.7,0.066,1596.0,BVH
2020-Q2,2,2020,30.7,1.7,0.061,1439.0,BVH
2020-Q1,1,2020,33.2,1.4,0.047,1083.0,BVH
2019-Q4,4,2019,45.8,2.6,0.064,1454.0,BVH
2019-Q3,3,2019,43.6,3.4,0.081,1644.0,BVH
2019-Q2,2,2019,60.2,3.7,0.063,1287.0,BVH
2019-Q1,1,2019,64.9,4.5,0.071,1403.0,BVH
2018-Q4,4,2018,59.2,4.3,0.075,1441.0,BVH
2018-Q3,3,2018,60.8,4.8,0.082,1544.0,BVH
2018-Q2,2,2018,45.9,3.8,0.085,1677.0,BVH
2018-Q1,1,2018,41.2,4.7,0.117,2172.0,BVH
2017-Q4,4,2017,29.3,3.3,0.116,2105.0,BVH
2017-Q3,3,2017,25.4,2.9,0.115,2046.0,BVH
2017-Q2,2,2017,24.0,2.8,0.124,2231.0,BVH
2017-Q1,1,2017,30.4,3.1,0.102,1810.0,BVH
2016-Q4,4,2016,29.8,3.0,0.104,1813.0,BVH
2016-Q3,3,2016,38.0,3.8,0.099,1733.0,BVH
2016-Q2,2,2016,34.3,3.2,0.096,1600.0,BVH
2016-Q1,1,2016,29.5,2.6,,1553.0,BVH
2015-Q4,4,2015,32.1,2.9,,1514.0,BVH
2015-Q3,3,2015,25.1,2.4,,1696.0,BVH
2015-Q2,2,2015,20.6,2.3,,1828.0,BVH
2015-Q1,1,2015,18.2,,,1673.0,BVH
2024-Q4,4,2024,8.8,1.5,0.185,4720.0,CTG
2024-Q3,3,2024,9.2,1.4,0.166,4035.0,CTG
2024-Q2,2,2024,8.2,1.2,0.161,3781.0,CTG
2024-Q1,1,2024,9.5,1.5,0.167,3751.0,CTG
2023-Q4,4,2023,7.3,1.1,0.171,3722.0,CTG
2023-Q3,3,2023,8.0,1.2,0.16,3376.0,CTG
2023-Q2,2,2023,8.1,1.2,0.161,3279.0,CTG
2023-Q1,1,2023,8.2,1.2,0.163,3175.0,CTG
2022-Q4,4,2022,7.7,1.2,0.169,3148.0,CTG
2022-Q3,3,2022,7.2,1.1,0.155,2899.0,CTG
2022-Q2,2,2022,8.6,1.2,0.151,2735.0,CTG
2022-Q1,1,2022,12.7,1.6,0.13,2289.0,CTG
2021-Q4,4,2021,11.6,1.7,0.159,2624.0,CTG
2021-Q3,3,2021,9.6,1.7,0.186,3077.0,CTG
2021-Q2,2,2021,13.0,2.3,0.19,3054.0,CTG
2021-Q1,1,2021,9.2,1.8,0.209,3300.0,CTG
2020-Q4,4,2020,9.2,1.5,0.169,2846.0,CTG
2020-Q3,3,2020,8.7,1.1,0.14,2284.0,CTG
2020-Q2,2,2020,6.9,1.0,0.146,2320.0,CTG
2020-Q1,1,2020,6.6,0.8,0.126,1945.0,CTG
2019-Q4,4,2019,8.1,1.0,0.131,1968.0,CTG
2019-Q3,3,2019,13.0,1.0,0.083,1242.0,CTG
2019-Q2,2,2019,13.4,1.0,0.076,1109.0,CTG
2019-Q1,1,2019,15.3,1.2,0.079,1118.0,CTG
2018-Q4,4,2018,13.4,1.1,0.081,1097.0,CTG
2018-Q3,3,2018,13.2,1.4,0.117,1599.0,CTG
2018-Q2,2,2018,11.5,1.3,0.122,1615.0,CTG
2018-Q1,1,2018,16.2,1.9,0.126,1629.0,CTG
2017-Q4,4,2017,12.0,1.4,0.118,1546.0,CTG
2017-Q3,3,2017,9.2,1.1,0.121,1543.0,CTG
2017-Q2,2,2017,9.9,1.2,0.121,1506.0,CTG
2017-Q1,1,2017,9.3,1.1,0.118,1426.0,CTG
2016-Q4,4,2016,7.6,0.8,0.114,1403.0,CTG
2016-Q3,3,2016,8.9,0.9,0.11,1338.0,CTG
2016-Q2,2,2016,9.4,1.0,0.107,1264.0,CTG
2016-Q1,1,2016,8.7,1.0,0.112,1325.0,CTG
2015-Q4,4,2015,11.1,1.1,0.103,1185.0,CTG
2015-Q3,3,2015,11.3,1.2,0.107,1226.0,CTG
2015-Q2,2,2015,11.4,1.2,0.106,1190.0,CTG
2015-Q1,1,2015,9.6,1.0,0.104,1211.0,CTG
2024-Q4,4,2024,23.3,6.2,0.287,5340.0,FPT
2024-Q3,3,2024,26.2,6.6,0.281,5091.0,FPT
2024-Q2,2,2024,26.7,6.9,0.277,4854.0,FPT
2024-Q1,1,2024,21.7,5.5,0.274,4605.0,FPT
2023-Q4,4,2023,18.7,4.9,0.281,4398.0,FPT
2023-Q3,3,2023,19.2,5.0,0.28,4142.0,FPT
2023-Q2,2,2023,15.9,3.8,0.266,3948.0,FPT
2023-Q1,1,2023,15.3,3.8,0.266,3772.0,FPT
2022-Q4,4,2022,15.6,3.9,0.272,3599.0,FPT
2022-Q3,3,2022,16.5,4.3,0.284,3565.0,FPT
2022-Q2,2,2022,18.6,4.7,0.271,3341.0,FPT
2022-Q1,1,2022,20.1,4.9,0.26,3171.0,FPT
2021-Q4,4,2021,18.9,4.6,0.257,3411.0,FPT
2021-Q3,3,2021,24.0,5.7,0.251,3160.0,FPT
2021-Q2,2,2021,23.6,5.4,0.241,3006.0,FPT
2021-Q1,1,2021,18.6,4.1,0.236,2910.0,FPT
2020-Q4,4,2020,12.7,2.9,0.238,3224.0,FPT
2020-Q3,3,2020,11.5,2.5,0.231,3019.0,FPT
2020-Q2,2,2020,10.2,2.3,0.236,3047.0,FPT
2020-Q1,1,2020,8.0,1.8,0.234,2968.0,FPT
2019-Q4,4,2019,12.0,2.7,0.237,3455.0,FPT
2019-Q3,3,2019,11.8,2.7,0.249,3487.0,FPT
2019-Q2,2,2019,9.8,2.2,0.234,3228.0,FPT
2019-Q1,1,2019,9.4,2.0,0.218,3010.0,FPT
2018-Q4,4,2018,9.1,1.9,0.219,2881.0,FPT
2018-Q3,3,2018,8.0,2.2,0.289,3579.0,FPT
2018-Q2,2,2018,7.4,1.9,0.285,3422.0,FPT
2018-Q1,1,2018,9.4,2.4,0.276,3331.0,FPT
2017-Q4,4,2017,9.1,2.3,0.279,3225.0,FPT
2017-Q3,3,2017,10.5,2.1,0.22,2389.0,FPT
2017-Q2,2,2017,10.4,2.1,0.215,2262.0,FPT
2017-Q1,1,2017,9.0,1.9,0.218,2267.0,FPT
2016-Q4,4,2016,8.6,1.8,0.22,2193.0,FPT
2016-Q3,3,2016,9.1,2.0,0.228,2194.0,FPT
2016-Q2,2,2016,8.3,1.8,0.218,2108.0,FPT
2016-Q1,1,2016,8.2,1.7,0.214,2042.0,FPT
2015-Q4,4,2015,8.1,1.8,0.234,2129.0,FPT
2015-Q3,3,2015,8.4,1.7,0.214,1896.0,FPT
2015-Q2,2,2015,8.6,1.7,0.214,1896.0,FPT
2015-Q1,1,2015,7.7,1.9,0.212,1864.0,FPT
2024-Q4,4,2024,15.5,2.7,0.167,4438.0,GAS
2024-Q3,3,2024,15.5,2.9,0.185,4728.0,GAS
2024-Q2,2,2024,14.9,2.3,0.161,4666.0,GAS
2024-Q1,1,2024,15.9,2.6,0.166,4596.0,GAS
2023-Q4,4,2023,13.9,2.5,0.187,4954.0,GAS
2023-Q3,3,2023,15.9,3.1,0.205,5179.0,GAS
2023-Q2,2,2023,12.5,2.4,0.204,5457.0,GAS
2023-Q1,1,2023,11.9,2.8,0.25,6281.0,GAS
2022-Q4,4,2022,11.8,2.9,0.267,6315.0,GAS
2022-Q3,3,2022,14.0,3.3,0.255,5766.0,GAS
2022-Q2,2,2022,14.9,3.2,0.243,5505.0,GAS
2022-Q1,1,2022,17.9,3.3,0.192,4299.0,GAS
2021-Q4,4,2021,19.9,3.4,0.174,3776.0,GAS
2021-Q3,3,2021,25.8,4.4,0.175,3653.0,GAS
2021-Q2,2,2021,26.0,4.4,0.161,3482.0,GAS
2021-Q1,1,2021,25.9,3.9,0.148,3269.0,GAS
2020-Q4,4,2020,20.0,3.2,0.161,4081.0,GAS
2020-Q3,3,2020,14.1,2.8,0.198,4773.0,GAS
2020-Q2,2,2020,11.9,2.3,0.206,5223.0,GAS
2020-Q1,1,2020,8.4,1.9,0.237,5874.0,GAS
2019-Q4,4,2019,13.9,3.4,0.253,6238.0,GAS
2019-Q3,3,2019,15.5,4.1,0.276,6351.0,GAS
2019-Q2,2,2019,13.5,3.8,0.284,6516.0,GAS
2019-Q1,1,2019,13.6,3.8,0.284,6543.0,GAS
2018-Q4,4,2018,12.1,3.2,0.278,6323.0,GAS
2018-Q3,3,2018,15.6,4.6,0.305,6556.0,GAS
2018-Q2,2,2018,13.1,3.4,0.271,5877.0,GAS
2018-Q1,1,2018,21.3,4.9,0.236,5229.0,GAS
2017-Q4,4,2017,16.5,3.8,0.238,5003.0,GAS
2017-Q3,3,2017,12.4,2.8,0.224,4689.0,GAS
2017-Q2,2,2017,11.5,2.3,0.203,4199.0,GAS
2017-Q1,1,2017,10.7,2.1,0.191,4113.0,GAS
2016-Q4,4,2016,13.3,2.4,0.175,3663.0,GAS
2016-Q3,3,2016,20.9,2.6,0.121,2606.0,GAS
2016-Q2,2,2016,14.5,2.3,0.16,3313.0,GAS
2016-Q1,1,2016,8.3,1.4,0.181,3795.0,GAS
2015-Q4,4,2015,6.0,1.2,0.222,4458.0,GAS
2015-Q3,3,2015,5.1,1.5,0.317,6412.0,GAS
2015-Q2,2,2015,6.6,2.1,0.344,6742.0,GAS
2015-Q1,1,2015,6.6,2.4,0.366,7078.0,GAS
2024-Q4,4,2024,33.0,2.6,0.082,1053.0,GVR
2024-Q3,3,2024,41.6,2.7,0.066,851.0,GVR
2024-Q2,2,2024,48.9,2.6,0.055,693.0,GVR
2024-Q1,1,2024,52.3,2.6,0.05,627.0,GVR
2023-Q4,4,2023,32.5,1.7,0.052,646.0,GVR
2023-Q3,3,2023,32.6,1.5,0.046,583.0,GVR
2023-Q2,2,2023,26.5,1.5,0.058,713.0,GVR
2023-Q1,1,2023,18.2,1.2,0.067,828.0,GVR
2022-Q4,4,2022,14.1,1.1,0.079,954.0,GVR
2022-Q3,3,2022,18.2,1.6,0.087,1086.0,GVR
2022-Q2,2,2022,18.0,1.7,0.097,1187.0,GVR
2022-Q1,1,2022,28.7,2.6,0.092,1123.0,GVR
2021-Q4,4,2021,33.2,3.0,0.089,1063.0,GVR
2021-Q3,3,2021,25.8,2.9,0.117,1371.0,GVR
2021-Q2,2,2021,26.4,2.8,0.11,1307.0,GVR
2021-Q1,1,2021,22.5,2.3,0.103,1217.0,GVR
2020-Q4,4,2020,27.6,2.5,0.091,1069.0,GVR
2020-Q3,3,2020,15.8,1.1,0.068,768.0,GVR
2020-Q2,2,2020,13.4,0.9,0.067,767.0,GVR
2020-Q1,1,2020,9.4,0.7,0.072,833.0,GVR
2019-Q4,4,2019,11.9,0.9,0.072,829.0,GVR
2019-Q3,3,2019,15.4,1.1,0.074,829.0,GVR
2024-Q4,4,2024,6.3,1.4,0.258,3651.0,HDB
2024-Q3,3,2024,6.3,1.5,0.281,3717.0,HDB
2024-Q2,2,2024,5.3,1.2,0.27,3447.0,HDB
2024-Q1,1,2024,6.1,1.4,0.256,3173.0,HDB
2023-Q4,4,2023,5.6,1.2,0.247,2881.0,HDB
2023-Q3,3,2023,5.7,1.1,0.222,2421.0,HDB
2023-Q2,2,2023,5.7,1.1,0.223,2288.0,HDB
2023-Q1,1,2023,5.6,1.1,0.226,2265.0,HDB
2022-Q4,4,2022,4.7,0.9,0.235,2217.0,HDB
2022-Q3,3,2022,5.9,1.2,0.24,2151.0,HDB
2022-Q2,2,2022,6.4,1.3,0.234,1984.0,HDB
2022-Q1,1,2022,8.2,1.6,0.231,1833.0,HDB
2021-Q4,4,2021,9.7,1.9,0.233,2092.0,HDB
2021-Q3,3,2021,13.1,2.5,0.226,1937.0,HDB
2021-Q2,2,2021,15.6,3.0,0.224,1820.0,HDB
2021-Q1,1,2021,12.4,2.3,0.223,1702.0,HDB
2020-Q4,4,2020,11.2,1.9,0.202,1689.0,HDB
2020-Q3,3,2020,8.9,1.6,0.215,1714.0,HDB
2020-Q2,2,2020,7.3,1.3,0.216,1637.0,HDB
2020-Q1,1,2020,5.9,1.0,0.205,1468.0,HDB
2019-Q4,4,2019,7.4,1.3,0.208,1809.0,HDB
2019-Q3,3,2019,8.2,1.4,0.198,1638.0,HDB
2019-Q2,2,2019,9.1,1.4,0.186,1471.0,HDB
2019-Q1,1,2019,10.0,1.6,0.184,1447.0,HDB
2018-Q4,4,2018,10.3,1.7,0.191,1426.0,HDB
2018-Q3,3,2018,15.6,2.4,0.189,1210.0,HDB
2018-Q2,2,2018,13.3,2.3,0.216,1316.0,HDB
2018-Q1,1,2018,19.1,2.7,0.183,1122.0,HDB
2017-Q4,4,2017,,,0.149,876.0,HDB
2017-Q3,3,2017,,,0.177,878.0,HDB
2017-Q2,2,2017,,,0.111,520.0,HDB
2014-Q1,1,2014,,,0.026,92.0,HDB
2024-Q4,4,2024,14.5,1.5,0.111,1879.0,HPG
2024-Q3,3,2024,13.8,1.5,0.115,1905.0,HPG
2024-Q2,2,2024,16.2,1.7,0.108,1745.0,HPG
2024-Q1,1,2024,18.9,1.7,0.092,1455.0,HPG
2023-Q4,4,2023,23.8,1.6,0.069,1068.0,HPG
2023-Q3,3,2023,81.7,1.5,0.019,292.0,HPG
2023-Q2,2,2023,-79.7,1.6,-0.019,-298.0,HPG
2023-Q1,1,2023,182.1,1.3,0.007,103.0,HPG
2022-Q4,4,2022,12.3,1.1,0.091,1326.0,HPG
2022-Q3,3,2022,6.9,1.3,0.197,2798.0,HPG
2022-Q2,2,2022,4.3,1.3,0.346,4694.0,HPG
2022-Q1,1,2022,5.6,2.0,0.433,5584.0,HPG
2021-Q4,4,2021,5.9,2.3,0.461,5929.0,HPG
2021-Q3,3,2021,7.3,2.8,0.456,5449.0,HPG
2021-Q2,2,2021,9.0,3.1,0.398,4318.0,HPG
2021-Q1,1,2021,8.4,2.3,0.313,3118.0,HPG
2020-Q4,4,2020,10.0,2.3,0.252,2311.0,HPG
2020-Q3,3,2020,8.0,1.6,0.213,1843.0,HPG
2020-Q2,2,2020,8.2,1.4,0.18,1496.0,HPG
2020-Q1,1,2020,5.6,0.9,0.174,1374.0,HPG
2019-Q4,4,2019,8.4,1.3,0.17,1678.0,HPG
2019-Q3,3,2019,8.0,1.3,0.174,1644.0,HPG
2019-Q2,2,2019,7.9,1.4,0.199,1789.0,HPG
2019-Q1,1,2019,8.2,1.6,0.214,1824.0,HPG
2018-Q4,4,2018,7.5,1.6,0.236,1916.0,HPG
2018-Q3,3,2018,9.5,2.3,0.267,2057.0,HPG
2018-Q2,2,2018,8.9,2.2,0.301,1999.0,HPG
2018-Q1,1,2018,10.8,2.6,0.298,1851.0,HPG
2017-Q4,4,2017,8.6,2.1,0.308,1790.0,HPG
2017-Q3,3,2017,7.6,1.9,0.315,1690.0,HPG
2017-Q2,2,2017,6.7,2.1,0.349,1570.0,HPG
2017-Q1,1,2017,5.6,2.0,0.409,1679.0,HPG
2016-Q4,4,2016,6.0,2.0,0.386,1475.0,HPG
