period,quarter,year,price_to_earning,price_to_book,roe,earning_per_share,company
2017-Q1,1,2017,150.5,0.9,0.006,76.0,STB
2016-Q4,4,2016,192.4,0.7,0.004,49.0,STB
2016-Q3,3,2016,-45.6,0.7,-0.017,-204.0,STB
2016-Q2,2,2016,-656.9,0.9,-0.002,-17.0,STB
2016-Q1,1,2016,27.7,0.8,0.032,372.0,STB
2015-Q4,4,2015,20.6,1.0,0.056,635.0,STB
2015-Q3,3,2015,12.3,1.3,0.108,1109.0,STB
2015-Q2,2,2015,13.2,1.5,0.118,1176.0,STB
2015-Q1,1,2015,12.6,1.5,0.126,1235.0,STB
2024-Q4,4,2024,8.9,1.3,0.156,3046.0,TCB
2024-Q3,3,2024,7.6,1.2,0.168,3197.0,TCB
2024-Q2,2,2024,7.7,1.2,0.166,3038.0,TCB
2024-Q1,1,2024,8.3,1.2,0.156,2792.0,TCB
2023-Q4,4,2023,6.1,0.8,0.148,2548.0,TCB
2023-Q3,3,2023,6.7,0.9,0.146,2421.0,TCB
2023-Q2,2,2023,6.2,0.9,0.158,2518.0,TCB
2023-Q1,1,2023,5.1,0.8,0.178,2709.0,TCB
2022-Q4,4,2022,4.4,0.8,0.197,2852.0,TCB
2022-Q3,3,2022,5.3,1.0,0.216,3000.0,TCB
2022-Q2,2,2022,6.0,1.2,0.217,2864.0,TCB
2022-Q1,1,2022,8.9,1.7,0.217,2709.0,TCB
2021-Q4,4,2021,9.8,1.9,0.217,5120.0,TCB
2021-Q3,3,2021,10.0,2.0,0.221,4939.0,TCB
2021-Q2,2,2021,11.5,2.2,0.215,4587.0,TCB
2021-Q1,1,2021,10.0,1.8,0.2,4049.0,TCB
2020-Q4,4,2020,9.0,1.5,0.181,3504.0,TCB
2020-Q3,3,2020,7.0,1.1,0.177,3241.0,TCB
2020-Q2,2,2020,6.3,1.0,0.176,3086.0,TCB
2020-Q1,1,2020,5.0,0.8,0.177,2970.0,TCB
2019-Q4,4,2019,8.2,1.3,0.178,2869.0,TCB
2019-Q3,3,2019,8.8,1.4,0.172,2648.0,TCB
2019-Q2,2,2019,8.1,1.3,0.17,2507.0,TCB
2019-Q1,1,2019,10.6,1.7,0.186,2420.0,TCB
2018-Q4,4,2018,10.7,1.8,0.215,2410.0,TCB
2018-Q3,3,2018,11.7,2.1,0.254,2496.0,TCB
2018-Q2,2,2018,12.8,2.3,0.243,2395.0,TCB
2018-Q1,1,2018,,,0.255,2117.0,TCB
2017-Q4,4,2017,,,0.277,1835.0,TCB
2017-Q3,3,2017,,,0.251,1365.0,TCB
2017-Q2,2,2017,,,0.208,1170.0,TCB
2017-Q1,1,2017,,,0.201,1076.0,TCB
2016-Q4,4,2016,,,0.177,909.0,TCB
2016-Q3,3,2016,,,0.153,759.0,TCB
2016-Q2,2,2016,,,0.122,583.0,TCB
2016-Q1,1,2016,,,0.108,497.0,TCB
2015-Q4,4,2015,,,0.1,451.0,TCB
2015-Q3,3,2015,,,0.09,395.0,TCB
2015-Q2,2,2015,,,0.075,326.0,TCB
2015-Q1,1,2015,,,0.059,247.0,TCB
2024-Q4,4,2024,7.0,1.1,0.173,2298.0,TPB
2024-Q3,3,2024,9.3,1.3,0.142,1840.0,TPB
2024-Q2,2,2024,8.0,1.1,0.142,1794.0,TPB
2024-Q1,1,2024,9.1,1.2,0.133,1708.0,TPB
2023-Q4,4,2023,8.4,1.1,0.137,1689.0,TPB
2023-Q3,3,2023,7.0,1.2,0.174,2077.0,TPB
2023-Q2,2,2023,6.5,1.2,0.198,2247.0,TPB
2023-Q1,1,2023,5.4,1.0,0.209,2412.0,TPB
2022-Q4,4,2022,4.7,0.9,0.215,2369.0,TPB
2022-Q3,3,2022,5.7,1.1,0.219,2292.0,TPB
2022-Q2,2,2022,6.9,1.3,0.221,2064.0,TPB
2022-Q1,1,2022,11.2,2.0,0.22,1889.0,TPB
2021-Q4,4,2021,12.1,2.3,0.226,2193.0,TPB
2021-Q3,3,2021,14.7,2.7,0.229,2091.0,TPB
2021-Q2,2,2021,14.0,3.0,0.247,1947.0,TPB
2021-Q1,1,2021,11.8,2.5,0.241,1743.0,TPB
2020-Q4,4,2020,8.9,1.9,0.235,2218.0,TPB
2020-Q3,3,2020,6.3,1.5,0.263,2269.0,TPB
2020-Q2,2,2020,5.8,1.4,0.266,2165.0,TPB
2020-Q1,1,2020,5.1,1.2,0.256,2036.0,TPB
2019-Q4,4,2019,8.8,2.1,0.261,1956.0,TPB
2019-Q3,3,2019,11.9,2.4,0.22,1540.0,TPB
2019-Q2,2,2019,13.0,2.6,0.218,1441.0,TPB
2019-Q1,1,2019,13.9,2.4,0.212,1247.0,TPB
2018-Q4,4,2018,10.6,1.8,0.208,1539.0,TPB
2018-Q3,3,2018,12.7,1.9,0.185,1315.0,TPB
2018-Q2,2,2018,15.8,2.1,0.166,1113.0,TPB
2018-Q1,1,2018,,,0.178,998.0,TPB
2017-Q4,4,2017,,,0.141,744.0,TPB
2024-Q4,4,2024,16.4,2.8,0.184,4048.0,VCB
2024-Q3,3,2024,14.9,2.7,0.198,4143.0,VCB
2024-Q2,2,2024,14.3,2.6,0.2,3988.0,VCB
2024-Q1,1,2024,16.3,3.1,0.205,3904.0,VCB
2023-Q4,4,2023,13.6,2.7,0.216,3953.0,VCB
2023-Q3,3,2023,14.6,3.1,0.234,4021.0,VCB
2023-Q2,2,2023,14.6,3.1,0.236,3877.0,VCB
2023-Q1,1,2023,14.0,3.0,0.236,3700.0,VCB
2022-Q4,4,2022,12.7,2.7,0.24,5348.0,VCB
2022-Q3,3,2022,13.1,2.7,0.223,4742.0,VCB
2022-Q2,2,2022,14.1,2.9,0.22,4478.0,VCB
2022-Q1,1,2022,16.9,3.3,0.212,4125.0,VCB
2021-Q4,4,2021,17.0,3.4,0.209,3919.0,VCB
2021-Q3,3,2021,19.9,3.8,0.208,3779.0,VCB
2021-Q2,2,2021,24.5,4.8,0.211,3671.0,VCB
2021-Q1,1,2021,19.4,4.1,0.228,3787.0,VCB
2020-Q4,4,2020,19.4,3.6,0.2,3897.0,VCB
2020-Q3,3,2020,17.8,3.3,0.197,3629.0,VCB
2020-Q2,2,2020,16.0,3.3,0.22,3852.0,VCB
2020-Q1,1,2020,12.5,2.6,0.228,3800.0,VCB
2019-Q4,4,2019,22.9,4.9,0.248,3912.0,VCB
2019-Q3,3,2019,19.7,4.7,0.272,4097.0,VCB
2019-Q2,2,2019,19.0,4.3,0.256,3651.0,VCB
2019-Q1,1,2019,19.8,4.3,0.246,3348.0,VCB
2018-Q4,4,2018,13.3,3.1,0.249,3947.0,VCB
2018-Q3,3,2018,18.8,3.7,0.209,3258.0,VCB
2018-Q2,2,2018,18.5,3.6,0.205,3045.0,VCB
2018-Q1,1,2018,24.4,4.5,0.196,2800.0,VCB
2017-Q4,4,2017,21.5,3.6,0.176,2450.0,VCB
2017-Q3,3,2017,16.6,2.5,0.16,2193.0,VCB
2017-Q2,2,2017,17.8,2.6,0.152,2056.0,VCB
2017-Q1,1,2017,18.1,2.6,0.148,1939.0,VCB
2016-Q4,4,2016,18.3,2.5,0.144,1840.0,VCB
2016-Q3,3,2016,20.0,2.8,0.148,1819.0,VCB
2016-Q2,2,2016,19.3,2.5,0.134,1693.0,VCB
2016-Q1,1,2016,17.4,2.2,0.132,1622.0,VCB
2015-Q4,4,2015,21.1,2.4,0.118,1432.0,VCB
2015-Q3,3,2015,22.2,2.5,0.113,1333.0,VCB
2015-Q2,2,2015,25.9,2.7,0.107,1297.0,VCB
2015-Q1,1,2015,19.3,2.0,0.103,1226.0,VCB
2024-Q4,4,2024,6.2,1.0,0.164,7590.0,VHM
2024-Q3,3,2024,8.6,0.9,0.108,4983.0,VHM
2024-Q2,2,2024,6.6,0.8,0.13,5671.0,VHM
2024-Q1,1,2024,8.0,1.0,0.13,5378.0,VHM
2023-Q4,4,2023,5.4,1.0,0.205,8064.0,VHM
2023-Q3,3,2023,4.5,1.1,0.263,10037.0,VHM
2023-Q2,2,2023,5.0,1.4,0.313,10962.0,VHM
2023-Q1,1,2023,5.9,1.3,0.251,8765.0,VHM
2022-Q4,4,2022,6.9,1.4,0.21,6969.0,VHM
2022-Q3,3,2022,6.6,1.5,0.253,7701.0,VHM
2022-Q2,2,2022,9.0,2.1,0.261,6891.0,VHM
2022-Q1,1,2022,7.9,2.3,0.347,9298.0,VHM
2021-Q4,4,2021,8.9,2.7,0.364,8967.0,VHM
2021-Q3,3,2021,8.6,2.9,0.409,8868.0,VHM
2021-Q2,2,2021,11.3,4.0,0.408,7695.0,VHM
2021-Q1,1,2021,11.8,3.4,0.343,6060.0,VHM
2020-Q4,4,2020,10.3,3.3,0.393,6393.0,VHM
2020-Q3,3,2020,10.9,3.2,0.347,5125.0,VHM
2020-Q2,2,2020,11.1,3.5,0.358,4990.0,VHM
2020-Q1,1,2020,6.9,2.8,0.471,5881.0,VHM
2019-Q4,4,2019,13.1,5.0,0.431,4892.0,VHM
2019-Q3,3,2019,16.7,5.5,0.372,4058.0,VHM
2019-Q2,2,2019,16.1,4.9,0.353,3685.0,VHM
2019-Q1,1,2019,23.5,6.5,0.32,2913.0,VHM
2024-Q4,4,2024,8.5,1.5,0.181,2418.0,VIB
2024-Q3,3,2024,8.0,1.4,0.189,2411.0,VIB
2024-Q2,2,2024,6.9,1.4,0.214,2595.0,VIB
2024-Q1,1,2024,7.2,1.6,0.237,2822.0,VIB
2023-Q4,4,2023,5.5,1.2,0.243,2874.0,VIB
2023-Q3,3,2023,5.2,1.3,0.267,2979.0,VIB
2023-Q2,2,2023,5.3,1.4,0.288,3008.0,VIB
2023-Q1,1,2023,4.8,1.3,0.3,2954.0,VIB
2022-Q4,4,2022,4.2,1.1,0.297,2842.0,VIB
2022-Q3,3,2022,4.9,1.4,0.319,2816.0,VIB
2022-Q2,2,2022,5.5,1.4,0.295,2438.0,VIB
2022-Q1,1,2022,9.6,2.5,0.299,2278.0,VIB
2021-Q4,4,2021,10.8,2.9,0.303,2526.0,VIB
2021-Q3,3,2021,11.7,3.0,0.294,2244.0,VIB
2021-Q2,2,2021,15.7,4.4,0.326,2333.0,VIB
2021-Q1,1,2021,12.4,3.4,0.311,2060.0,VIB
2020-Q4,4,2020,7.8,2.0,0.296,2201.0,VIB
2020-Q3,3,2020,6.2,1.5,0.286,1970.0,VIB
2020-Q2,2,2020,4.4,1.1,0.275,1752.0,VIB
2020-Q1,1,2020,3.4,0.8,0.272,1650.0,VIB
2019-Q4,4,2019,4.9,1.2,0.271,2102.0,VIB
2019-Q3,3,2019,5.3,1.3,0.278,2027.0,VIB
2019-Q2,2,2019,4.7,1.1,0.256,1757.0,VIB
2019-Q1,1,2019,6.0,1.3,0.238,1562.0,VIB
2018-Q4,4,2018,6.1,1.3,0.225,1412.0,VIB
2018-Q3,3,2018,7.7,1.5,0.21,1289.0,VIB
2018-Q2,2,2018,8.2,1.5,0.189,1120.0,VIB
2018-Q1,1,2018,15.0,2.3,0.157,911.0,VIB
2017-Q4,4,2017,10.8,1.4,0.128,725.0,VIB
2017-Q3,3,2017,15.4,1.3,0.084,473.0,VIB
2017-Q2,2,2017,18.9,1.3,0.073,402.0,VIB
2017-Q1,1,2017,16.1,1.1,0.066,371.0,VIB
2016-Q4,4,2016,,,0.065,362.0,VIB
2016-Q3,3,2016,,,0.062,339.0,VIB
2016-Q2,2,2016,,,0.061,327.0,VIB
2016-Q1,1,2016,,,0.055,308.0,VIB
2015-Q4,4,2015,,,0.057,313.0,VIB
2015-Q3,3,2015,,,0.076,405.0,VIB
2015-Q2,2,2015,,,0.076,401.0,VIB
2015-Q1,1,2015,,,0.072,388.0,VIB
2024-Q4,4,2024,16.9,1.4,0.09,3069.0,VIC
2024-Q3,3,2024,16.8,1.2,0.074,2498.0,VIC
2024-Q2,2,2024,43.9,1.2,0.03,938.0,VIC
2024-Q1,1,2024,20.4,1.4,0.074,2335.0,VIC
2023-Q4,4,2023,82.7,1.4,0.018,539.0,VIC
2023-Q3,3,2023,47.4,1.5,0.032,988.0,VIC
2023-Q2,2,2023,36.1,1.7,0.049,1411.0,VIC
2023-Q1,1,2023,30.2,1.9,0.065,1821.0,VIC
2022-Q4,4,2022,24.6,1.9,0.08,2184.0,VIC
2022-Q3,3,2022,253.7,1.9,0.008,216.0,VIC
2022-Q2,2,2022,-598.9,2.7,-0.005,-122.0,VIC
2022-Q1,1,2022,-128.7,3.0,-0.026,-630.0,VIC
2021-Q4,4,2021,-131.2,3.6,-0.031,-724.0,VIC
2021-Q3,3,2021,78.3,3.4,0.047,1123.0,VIC
2021-Q2,2,2021,65.4,4.5,0.073,1618.0,VIC
2021-Q1,1,2021,59.1,4.9,0.085,1773.0,VIC
2020-Q4,4,2020,71.5,4.6,0.066,1344.0,VIC
2020-Q3,3,2020,35.9,3.8,0.109,2263.0,VIC
2020-Q2,2,2020,39.8,3.7,0.094,1989.0,VIC
2020-Q1,1,2020,40.9,3.6,0.104,1810.0,VIC
2019-Q4,4,2019,51.8,5.1,0.116,1972.0,VIC
2019-Q3,3,2019,76.2,5.3,0.082,1397.0,VIC
2019-Q2,2,2019,72.0,4.9,0.089,1428.0,VIC
2019-Q1,1,2019,92.3,7.1,0.096,1115.0,VIC
2018-Q4,4,2018,78.1,6.0,0.098,1084.0,VIC
2018-Q3,3,2018,86.4,6.4,0.096,1010.0,VIC
2018-Q2,2,2018,100.3,8.7,0.105,952.0,VIC
2018-Q1,1,2018,76.5,9.9,0.144,1125.0,VIC
2017-Q4,4,2017,50.9,6.9,0.147,1116.0,VIC
2017-Q3,3,2017,73.7,5.2,0.072,510.0,VIC
2017-Q2,2,2017,69.2,4.4,0.065,453.0,VIC
2017-Q1,1,2017,70.4,4.5,0.064,436.0,VIC
2016-Q4,4,2016,75.6,4.4,0.063,408.0,VIC
2016-Q3,3,2016,65.3,4.8,0.079,500.0,VIC
2016-Q2,2,2016,56.8,4.3,0.082,521.0,VIC
2016-Q1,1,2016,64.2,3.7,0.065,396.0,VIC
2015-Q4,4,2015,81.0,4.1,0.054,304.0,VIC
2015-Q3,3,2015,64.6,3.9,0.065,348.0,VIC
2015-Q2,2,2015,45.6,4.1,0.1,515.0,VIC
2015-Q1,1,2015,30.3,5.6,0.139,665.0,VIC
2024-Q4,4,2024,37.2,3.1,0.088,2632.0,VJC
2024-Q3,3,2024,37.2,3.4,0.096,2822.0,VJC
2024-Q2,2,2024,50.3,3.3,0.07,2016.0,VJC
2024-Q1,1,2024,73.4,3.5,0.049,1403.0,VJC
2023-Q4,4,2023,147.6,3.7,0.027,731.0,VJC
2023-Q3,3,2023,-25.8,3.5,-0.127,-3851.0,VJC
2023-Q2,2,2023,-23.4,3.4,-0.136,-4025.0,VJC
2023-Q1,1,2023,-25.4,3.8,-0.139,-4143.0,VJC
2022-Q4,4,2022,-27.3,4.2,-0.14,-4009.0,VJC
2022-Q3,3,2022,727.6,3.4,0.005,152.0,VJC
2022-Q2,2,2022,613.3,4.1,0.007,211.0,VJC
2022-Q1,1,2022,353.7,4.5,0.014,397.0,VJC
2021-Q4,4,2021,730.1,4.1,0.006,175.0,VJC
2021-Q3,3,2021,58.1,4.1,0.077,2201.0,VJC
2021-Q2,2,2021,444.8,3.9,0.009,273.0,VJC
2021-Q1,1,2021,59.3,4.8,0.083,2185.0,VJC
2020-Q4,4,2020,967.2,4.5,0.005,129.0,VJC
2020-Q3,3,2020,-146.0,4.1,-0.027,-716.0,VJC
2020-Q2,2,2020,25.6,3.9,0.15,4215.0,VJC
2020-Q1,1,2020,29.8,3.8,0.121,3261.0,VJC
2019-Q4,4,2019,18.8,5.2,0.289,7789.0,VJC
2019-Q3,3,2019,14.3,5.0,0.382,9632.0,VJC
2019-Q2,2,2019,13.3,4.5,0.381,9600.0,VJC
2019-Q1,1,2019,11.8,4.0,0.393,9811.0,VJC
2018-Q4,4,2018,12.4,4.6,0.435,9631.0,VJC
2018-Q3,3,2018,15.0,6.5,0.524,10036.0,VJC
2018-Q2,2,2018,15.9,6.4,0.495,8714.0,VJC
2018-Q1,1,2018,17.8,8.5,0.599,10167.0,VJC
2024-Q4,4,2024,13.9,4.0,0.294,4494.0,VNM
2024-Q3,3,2024,15.2,4.6,0.309,4590.0,VNM
2024-Q2,2,2024,13.6,3.8,0.286,4633.0,VNM
2024-Q1,1,2024,14.7,4.3,0.291,4407.0,VNM
2023-Q4,4,2023,15.1,4.2,0.288,4245.0,VNM
2023-Q3,3,2023,17.3,4.8,0.272,4027.0,VNM
2023-Q2,2,2023,16.4,4.0,0.243,3934.0,VNM
2023-Q1,1,2023,17.4,4.5,0.255,3879.0,VNM
2022-Q4,4,2022,17.0,4.8,0.271,4074.0,VNM
2022-Q3,3,2022,15.3,4.3,0.284,4231.0,VNM
2022-Q2,2,2022,13.8,3.8,0.288,4531.0,VNM
2022-Q1,1,2022,14.3,4.5,0.322,4891.0,VNM
2021-Q4,4,2021,15.4,4.9,0.327,5039.0,VNM
2021-Q3,3,2021,16.9,5.7,0.348,5034.0,VNM
2021-Q2,2,2021,16.5,5.6,0.346,5106.0,VNM
2021-Q1,1,2021,17.4,6.1,0.356,5220.0,VNM
2020-Q4,4,2020,18.7,6.6,0.378,5310.0,VNM
2020-Q3,3,2020,18.7,7.1,0.393,5318.0,VNM
2020-Q2,2,2020,16.5,5.9,0.367,5133.0,VNM
2020-Q1,1,2020,13.3,4.7,0.362,5050.0,VNM
2019-Q4,4,2019,17.9,6.9,0.397,5062.0,VNM
2019-Q3,3,2019,19.6,7.7,0.405,5109.0,VNM
2019-Q2,2,2019,18.5,6.9,0.388,5047.0,VNM
2019-Q1,1,2019,20.5,7.5,0.381,4936.0,VNM
2018-Q4,4,2018,18.4,7.3,0.416,4893.0,VNM
2018-Q3,3,2018,22.1,8.4,0.391,4628.0,VNM
2018-Q2,2,2018,22.2,8.4,0.388,4692.0,VNM
2018-Q1,1,2018,25.6,10.0,0.398,4814.0,VNM
2017-Q4,4,2017,25.7,11.3,0.452,4926.0,VNM
2017-Q3,3,2017,18.1,7.8,0.466,4966.0,VNM
2017-Q2,2,2017,19.1,8.0,0.433,4897.0,VNM
2017-Q1,1,2017,17.4,7.1,0.427,4846.0,VNM
2016-Q4,4,2016,16.5,7.0,0.436,4473.0,VNM
2016-Q3,3,2016,18.2,8.4,0.477,4506.0,VNM
2016-Q2,2,2016,15.6,6.2,0.411,4308.0,VNM
2016-Q1,1,2016,15.8,5.8,0.383,4006.0,VNM
2015-Q4,4,2015,16.2,6.1,0.385,3719.0,VNM
2015-Q3,3,2015,12.9,5.2,0.41,3639.0,VNM
2015-Q2,2,2015,13.1,4.3,0.346,3276.0,VNM
2015-Q1,1,2015,13.2,3.9,0.313,2984.0,VNM
2024-Q4,4,2024,9.8,1.0,0.114,1988.0,VPB
2024-Q3,3,2024,12.1,1.1,0.109,1662.0,VPB
2024-Q2,2,2024,12.8,1.1,0.098,1460.0,VPB
2024-Q1,1,2024,13.4,1.0,0.093,1396.0,VPB
2023-Q4,4,2023,14.4,1.0,0.087,1267.0,VPB
2023-Q3,3,2023,15.1,1.4,0.103,1296.0,VPB
2023-Q2,2,2023,12.3,1.3,0.12,1461.0,VPB
2023-Q1,1,2023,12.6,1.4,0.129,1517.0,VPB
2022-Q4,4,2022,7.1,1.2,0.207,2290.0,VPB
2022-Q3,3,2022,7.0,1.3,0.234,2311.0,VPB
2022-Q2,2,2022,8.3,1.4,0.223,2113.0,VPB
2022-Q1,1,2022,10.3,1.9,0.242,2177.0,VPB
2021-Q4,4,2021,15.3,2.1,0.18,1488.0,VPB
2021-Q3,3,2021,23.7,4.7,0.219,1547.0,VPB
2021-Q2,2,2021,24.1,5.0,0.23,1558.0,VPB
2021-Q1,1,2021,17.4,3.5,0.225,1424.0,VPB
2020-Q4,4,2020,11.6,2.3,0.219,1551.0,VPB
2020-Q3,3,2020,8.8,1.8,0.222,1494.0,VPB
2020-Q2,2,2020,7.6,1.6,0.235,1498.0,VPB
2020-Q1,1,2020,6.9,1.4,0.227,1364.0,VPB
2019-Q4,4,2019,6.0,1.2,0.215,1859.0,VPB
2019-Q3,3,2019,6.6,1.3,0.227,1846.0,VPB
2019-Q2,2,2019,6.4,1.2,0.206,1647.0,VPB
2019-Q1,1,2019,7.5,1.4,0.197,1504.0,VPB
2018-Q4,4,2018,6.7,1.4,0.228,1654.0,VPB
2018-Q3,3,2018,9.7,2.1,0.229,1538.0,VPB
2018-Q2,2,2018,9.7,2.1,0.279,1649.0,VPB
2018-Q1,1,2018,14.1,3.1,0.278,1572.0,VPB
2017-Q4,4,2017,9.7,2.1,0.274,1448.0,VPB
2017-Q3,3,2017,9.6,2.1,0.274,1337.0,VPB
2017-Q2,2,2017,,,0.319,1218.0,VPB
2017-Q1,1,2017,,,0.288,1065.0,VPB
2016-Q4,4,2016,,,0.265,914.0,VPB
2016-Q3,3,2016,,,0.219,701.0,VPB
2016-Q2,2,2016,,,0.212,626.0,VPB
2016-Q1,1,2016,,,0.25,663.0,VPB
2015-Q4,4,2015,,,0.214,538.0,VPB
2015-Q3,3,2015,,,0.194,468.0,VPB
2015-Q2,2,2015,,,0.151,343.0,VPB
2015-Q1,1,2015,,,0.161,312.0,VPB
2024-Q4,4,2024,10.2,1.0,0.103,1802.0,VRE
2024-Q3,3,2024,10.6,1.1,0.105,1794.0,VRE
2024-Q2,2,2024,10.4,1.2,0.119,1975.0,VRE
2024-Q1,1,2024,13.1,1.5,0.122,1965.0,VRE
2023-Q4,4,2023,12.0,1.4,0.124,1940.0,VRE
2023-Q3,3,2023,14.4,1.6,0.119,1818.0,VRE
2023-Q2,2,2023,16.9,1.7,0.107,1588.0,VRE
2023-Q1,1,2023,19.9,2.0,0.103,1487.0,VRE
2022-Q4,4,2022,21.9,1.8,0.086,1203.0,VRE
2022-Q3,3,2022,30.8,2.0,0.066,909.0,VRE
2022-Q2,2,2022,50.0,2.0,0.042,570.0,VRE
2022-Q1,1,2022,83.4,2.5,0.03,400.0,VRE
2021-Q4,4,2021,52.0,2.2,0.044,578.0,VRE
2021-Q3,3,2021,30.5,2.2,0.074,953.0,VRE
2021-Q2,2,2021,26.6,2.4,0.093,1194.0,VRE
2021-Q1,1,2021,27.8,2.5,0.093,1175.0,VRE
2020-Q4,4,2020,30.0,2.4,0.085,1048.0,VRE
2020-Q3,3,2020,27.4,2.2,0.081,1006.0,VRE
2020-Q2,2,2020,23.2,2.0,0.088,1070.0,VRE
2020-Q1,1,2020,16.0,1.6,0.097,1200.0,VRE
2019-Q4,4,2019,27.1,2.9,0.103,1253.0,VRE
2019-Q3,3,2019,28.3,2.7,0.095,1169.0,VRE
2019-Q2,2,2019,30.8,2.8,0.092,1098.0,VRE
2019-Q1,1,2019,30.8,2.6,0.089,1089.0,VRE
2018-Q4,4,2018,25.6,2.2,0.088,1058.0,VRE
2018-Q3,3,2018,33.6,2.7,0.085,987.0,VRE
