period,quarter,year,price_to_earning,price_to_book,roe,earning_per_share,equity_on_liability,asset_on_equity,equity_on_total_asset,roa,payable_on_equity,book_value_per_share_change,eps_change,book_value_per_share,company
2017-Q2,2,2017,9.9,1.2,0.121,1506.0,0.1,17.2,0.058,0.008,16.2,0.032,0.056,12551.0,CTG
2017-Q1,1,2017,9.3,1.1,0.118,1426.0,0.1,16.9,0.059,0.008,15.9,-0.072,0.017,12165.0,CTG
2016-Q4,4,2016,7.6,0.8,0.114,1403.0,0.1,15.1,0.066,0.008,14.1,0.027,0.049,13103.0,CTG
2016-Q3,3,2016,8.9,0.9,0.11,1338.0,0.1,14.7,0.068,0.008,13.7,0.03,0.058,12755.0,CTG
2016-Q2,2,2016,9.4,1.0,0.107,1264.0,0.1,14.3,0.07,0.008,13.3,0.026,-0.046,12383.0,CTG
2016-Q1,1,2016,8.7,1.0,0.112,1325.0,0.1,13.6,0.073,0.009,12.6,0.038,0.118,12072.0,CTG
2015-Q4,4,2015,11.1,1.1,0.103,1185.0,0.1,14.0,0.072,0.008,12.9,0.004,-0.034,11625.0,CTG
2015-Q3,3,2015,11.3,1.2,0.107,1226.0,0.1,12.8,0.078,0.009,11.8,0.024,0.031,11582.0,CTG
2015-Q2,2,2015,11.4,1.2,0.106,1190.0,0.1,12.6,0.079,0.009,11.6,-0.035,-0.017,11312.0,CTG
2015-Q1,1,2015,9.6,1.0,0.104,1211.0,0.1,11.5,0.087,0.01,10.5,0.024,0.019,11716.0,CTG
2024-Q4,4,2024,23.3,6.2,0.287,5340.0,1.0,2.4,0.414,0.119,1.0,0.003,0.049,20253.0,FPT
2024-Q3,3,2024,26.2,6.6,0.281,5091.0,1.1,2.3,0.439,0.116,0.9,0.08,0.049,20184.0,FPT
2024-Q2,2,2024,26.7,6.9,0.277,4854.0,1.0,2.4,0.421,0.114,1.0,0.024,0.054,18684.0,FPT
2024-Q1,1,2024,21.7,5.5,0.274,4605.0,1.0,2.3,0.433,0.12,1.0,0.074,0.047,18241.0,FPT
2023-Q4,4,2023,18.7,4.9,0.281,4398.0,1.0,2.4,0.414,0.116,1.0,0.057,0.062,16987.0,FPT
2023-Q3,3,2023,19.2,5.0,0.28,4142.0,0.8,2.6,0.381,0.104,1.2,-0.021,0.049,16065.0,FPT
2023-Q2,2,2023,15.9,3.8,0.266,3948.0,0.9,2.5,0.399,0.099,1.1,0.069,0.047,16417.0,FPT
2023-Q1,1,2023,15.3,3.8,0.266,3772.0,1.1,2.2,0.445,0.104,0.9,0.074,0.048,15355.0,FPT
2022-Q4,4,2022,15.6,3.9,0.272,3599.0,1.0,2.5,0.407,0.101,1.0,0.057,0.01,14297.0,FPT
2022-Q3,3,2022,16.5,4.3,0.284,3565.0,0.8,2.8,0.361,0.101,1.3,0.017,0.067,13524.0,FPT
2022-Q2,2,2022,18.6,4.7,0.271,3341.0,0.7,2.9,0.347,0.095,1.4,0.02,0.054,13296.0,FPT
2022-Q1,1,2022,20.1,4.9,0.26,3171.0,0.7,2.9,0.345,0.093,1.4,-0.077,-0.07,13040.0,FPT
2021-Q4,4,2021,18.9,4.6,0.257,3411.0,0.7,3.0,0.334,0.091,1.5,0.056,0.079,14128.0,FPT
2021-Q3,3,2021,24.0,5.7,0.251,3160.0,0.7,2.8,0.352,0.093,1.4,0.012,0.051,13373.0,FPT
2021-Q2,2,2021,23.6,5.4,0.241,3006.0,0.7,2.8,0.357,0.092,1.3,0.009,0.033,13218.0,FPT
2021-Q1,1,2021,18.6,4.1,0.236,2910.0,0.8,2.7,0.374,0.094,1.3,-0.087,-0.097,13101.0,FPT
2020-Q4,4,2020,12.7,2.9,0.238,3224.0,0.8,2.7,0.377,0.094,1.2,0.045,0.068,14351.0,FPT
2020-Q3,3,2020,11.5,2.5,0.231,3019.0,0.9,2.5,0.399,0.095,1.1,0.007,-0.009,13730.0,FPT
2020-Q2,2,2020,10.2,2.3,0.236,3047.0,1.0,2.4,0.417,0.101,1.0,0.015,0.027,13636.0,FPT
2020-Q1,1,2020,8.0,1.8,0.234,2968.0,1.1,2.3,0.428,0.103,1.0,-0.132,-0.141,13436.0,FPT
2019-Q4,4,2019,12.0,2.7,0.237,3455.0,1.0,2.4,0.417,0.099,1.0,0.034,-0.009,15471.0,FPT
2019-Q3,3,2019,11.8,2.7,0.249,3487.0,1.0,2.4,0.421,0.105,1.0,0.02,0.08,14964.0,FPT
2019-Q2,2,2019,9.8,2.2,0.234,3228.0,1.1,2.3,0.438,0.103,0.9,0.017,0.072,14670.0,FPT
2019-Q1,1,2019,9.4,2.0,0.218,3010.0,1.2,2.2,0.455,0.102,0.9,0.05,0.045,14423.0,FPT
2018-Q4,4,2018,9.1,1.9,0.219,2881.0,1.0,2.4,0.419,0.096,1.0,0.05,-0.195,13731.0,FPT
2018-Q3,3,2018,8.0,2.2,0.289,3579.0,1.0,2.4,0.423,0.112,1.0,0.009,0.046,13083.0,FPT
2018-Q2,2,2018,7.4,1.9,0.285,3422.0,1.1,2.2,0.447,0.114,0.9,-0.015,0.027,12960.0,FPT
2018-Q1,1,2018,9.4,2.4,0.276,3331.0,1.3,2.1,0.478,0.114,0.8,0.046,0.033,13163.0,FPT
2017-Q4,4,2017,9.1,2.3,0.279,3225.0,1.1,2.2,0.457,0.107,0.9,0.075,0.35,12590.0,FPT
2017-Q3,3,2017,10.5,2.1,0.22,2389.0,0.8,2.8,0.358,0.077,1.3,0.062,0.056,11714.0,FPT
2017-Q2,2,2017,10.4,2.1,0.215,2262.0,0.8,2.8,0.357,0.077,1.3,0.006,-0.002,11026.0,FPT
2017-Q1,1,2017,9.0,1.9,0.218,2267.0,0.7,2.8,0.355,0.078,1.3,0.045,0.034,10965.0,FPT
2016-Q4,4,2016,8.6,1.8,0.22,2193.0,0.6,3.1,0.318,0.071,1.6,0.051,-0.001,10496.0,FPT
2016-Q3,3,2016,9.1,2.0,0.228,2194.0,0.7,2.9,0.343,0.08,1.4,-0.001,0.041,9982.0,FPT
2016-Q2,2,2016,8.3,1.8,0.218,2108.0,0.8,2.8,0.358,0.08,1.3,0.015,0.032,9994.0,FPT
2016-Q1,1,2016,8.2,1.7,0.214,2042.0,0.8,2.8,0.362,0.079,1.3,0.041,-0.041,9845.0,FPT
2015-Q4,4,2015,8.1,1.8,0.234,2129.0,0.6,3.0,0.33,0.079,1.6,0.018,0.123,9461.0,FPT
2015-Q3,3,2015,8.4,1.7,0.214,1896.0,0.7,2.8,0.356,0.079,1.4,-0.006,0.0,9294.0,FPT
2015-Q2,2,2015,8.6,1.7,0.214,1896.0,0.8,2.7,0.376,0.085,1.3,0.226,0.017,9349.0,FPT
2015-Q1,1,2015,7.7,1.9,0.212,1864.0,0.7,3.2,0.312,0.085,1.5,0.054,0.039,7623.0,FPT
2024-Q4,4,2024,15.5,2.7,0.167,4438.0,3.0,1.4,0.736,0.123,0.3,0.034,-0.061,25717.0,GAS
2024-Q3,3,2024,15.5,2.9,0.185,4728.0,1.9,1.6,0.634,0.126,0.5,-0.163,0.013,24864.0,GAS
2024-Q2,2,2024,14.9,2.3,0.161,4666.0,2.9,1.4,0.731,0.119,0.3,0.044,0.015,29693.0,GAS
2024-Q1,1,2024,15.9,2.6,0.166,4596.0,2.8,1.4,0.726,0.122,0.4,0.04,-0.072,28436.0,GAS
2023-Q4,4,2023,13.9,2.5,0.187,4954.0,2.9,1.4,0.73,0.136,0.3,0.042,-0.043,27340.0,GAS
2023-Q3,3,2023,15.9,3.1,0.205,5179.0,2.9,1.4,0.726,0.143,0.4,-0.069,-0.051,26242.0,GAS
2023-Q2,2,2023,12.5,2.4,0.204,5457.0,3.2,1.3,0.748,0.145,0.3,0.045,-0.131,28195.0,GAS
2023-Q1,1,2023,11.9,2.8,0.25,6281.0,3.3,1.3,0.751,0.174,0.3,0.056,-0.005,26976.0,GAS
2022-Q4,4,2022,11.8,2.9,0.267,6315.0,2.9,1.4,0.723,0.183,0.4,0.057,0.095,25551.0,GAS
2022-Q3,3,2022,14.0,3.3,0.255,5766.0,2.1,1.5,0.665,0.171,0.5,-0.046,0.047,24177.0,GAS
2022-Q2,2,2022,14.9,3.2,0.243,5505.0,2.2,1.5,0.671,0.158,0.5,0.088,0.28,25346.0,GAS
2022-Q1,1,2022,17.9,3.3,0.192,4299.0,1.9,1.6,0.641,0.131,0.5,0.047,0.139,23288.0,GAS
2021-Q4,4,2021,19.9,3.4,0.174,3776.0,2.0,1.5,0.649,0.122,0.5,0.039,0.034,22246.0,GAS
2021-Q3,3,2021,25.8,4.4,0.175,3653.0,2.2,1.5,0.671,0.124,0.5,0.051,0.049,21403.0,GAS
2021-Q2,2,2021,26.0,4.4,0.161,3482.0,1.8,1.6,0.625,0.113,0.6,-0.074,0.065,20360.0,GAS
2021-Q1,1,2021,25.9,3.9,0.148,3269.0,3.0,1.4,0.736,0.112,0.3,-0.13,-0.199,21982.0,GAS
2020-Q4,4,2020,20.0,3.2,0.161,4081.0,3.6,1.3,0.767,0.125,0.3,0.035,-0.145,25270.0,GAS
2020-Q3,3,2020,14.1,2.8,0.198,4773.0,3.4,1.3,0.757,0.147,0.3,-0.108,-0.086,24418.0,GAS
2020-Q2,2,2020,11.9,2.3,0.206,5223.0,3.9,1.3,0.78,0.151,0.3,0.03,-0.111,27377.0,GAS
2020-Q1,1,2020,8.4,1.9,0.237,5874.0,3.9,1.3,0.777,0.176,0.3,0.048,-0.058,26569.0,GAS
2019-Q4,4,2019,13.9,3.4,0.253,6238.0,4.0,1.3,0.78,0.191,0.3,0.066,-0.018,25363.0,GAS
2019-Q3,3,2019,15.5,4.1,0.276,6351.0,3.1,1.4,0.728,0.197,0.3,0.021,-0.025,23795.0,GAS
2019-Q2,2,2019,13.5,3.8,0.284,6516.0,2.5,1.5,0.684,0.187,0.4,0.011,-0.004,23302.0,GAS
2019-Q1,1,2019,13.6,3.8,0.284,6543.0,2.9,1.4,0.711,0.195,0.4,-0.034,0.035,23050.0,GAS
2018-Q4,4,2018,12.1,3.2,0.278,6323.0,3.1,1.4,0.73,0.195,0.3,0.075,-0.036,23870.0,GAS
2018-Q3,3,2018,15.6,4.6,0.305,6556.0,2.6,1.4,0.697,0.206,0.4,-0.016,0.116,22202.0,GAS
2018-Q2,2,2018,13.1,3.4,0.271,5877.0,2.0,1.6,0.635,0.175,0.5,-0.018,0.124,22567.0,GAS
2018-Q1,1,2018,21.3,4.9,0.236,5229.0,2.2,1.5,0.665,0.157,0.4,0.062,0.045,22984.0,GAS
2017-Q4,4,2017,16.5,3.8,0.238,5003.0,2.3,1.5,0.67,0.161,0.4,0.043,0.067,21637.0,GAS
2017-Q3,3,2017,12.4,2.8,0.224,4689.0,2.2,1.5,0.655,0.151,0.5,0.0,0.117,20735.0,GAS
2017-Q2,2,2017,11.5,2.3,0.203,4199.0,2.2,1.5,0.658,0.134,0.5,-0.026,0.021,20742.0,GAS
2017-Q1,1,2017,10.7,2.1,0.191,4113.0,2.3,1.5,0.668,0.13,0.4,0.042,0.123,21297.0,GAS
2016-Q4,4,2016,13.3,2.4,0.175,3663.0,2.5,1.5,0.688,0.123,0.4,-0.034,0.405,20446.0,GAS
2016-Q3,3,2016,20.9,2.6,0.121,2606.0,2.7,1.4,0.697,0.088,0.4,0.024,-0.213,21159.0,GAS
2016-Q2,2,2016,14.5,2.3,0.16,3313.0,2.3,1.5,0.664,0.113,0.4,-0.051,-0.127,20655.0,GAS
2016-Q1,1,2016,8.3,1.4,0.181,3795.0,2.7,1.4,0.698,0.129,0.4,0.014,-0.149,21761.0,GAS
2015-Q4,4,2015,6.0,1.2,0.222,4458.0,3.1,1.4,0.724,0.154,0.3,-0.023,-0.305,21455.0,GAS
2015-Q3,3,2015,5.1,1.5,0.317,6412.0,4.0,1.3,0.766,0.227,0.3,0.057,-0.049,21954.0,GAS
2015-Q2,2,2015,6.6,2.1,0.344,6742.0,3.7,1.3,0.752,0.253,0.3,0.082,-0.047,20765.0,GAS
2015-Q1,1,2015,6.6,2.4,0.366,7078.0,3.1,1.4,0.693,0.259,0.3,0.071,-0.041,19185.0,GAS
2024-Q4,4,2024,33.0,2.6,0.082,1053.0,2.4,1.6,0.636,0.052,0.4,0.021,0.238,13290.0,GVR
2024-Q3,3,2024,41.6,2.7,0.066,851.0,2.8,1.5,0.666,0.044,0.4,0.013,0.227,13021.0,GVR
2024-Q2,2,2024,48.9,2.6,0.055,693.0,2.8,1.5,0.667,0.036,0.4,0.012,0.105,12856.0,GVR
2024-Q1,1,2024,52.3,2.6,0.05,627.0,2.7,1.5,0.66,0.033,0.4,0.022,-0.029,12699.0,GVR
2023-Q4,4,2023,32.5,1.7,0.052,646.0,2.3,1.6,0.634,0.033,0.4,-0.015,0.108,12426.0,GVR
2023-Q3,3,2023,32.6,1.5,0.046,583.0,2.5,1.5,0.648,0.03,0.4,0.016,-0.183,12611.0,GVR
2023-Q2,2,2023,26.5,1.5,0.058,713.0,2.4,1.5,0.648,0.037,0.4,-0.001,-0.138,12413.0,GVR
2023-Q1,1,2023,18.2,1.2,0.067,828.0,2.4,1.6,0.645,0.042,0.4,0.017,-0.132,12425.0,GVR
2022-Q4,4,2022,14.1,1.1,0.079,954.0,2.1,1.6,0.626,0.049,0.5,-0.03,-0.121,12216.0,GVR
2022-Q3,3,2022,18.2,1.6,0.087,1086.0,2.2,1.6,0.633,0.055,0.5,0.017,-0.085,12598.0,GVR
2022-Q2,2,2022,18.0,1.7,0.097,1187.0,2.1,1.6,0.625,0.06,0.5,-0.003,0.057,12383.0,GVR
2022-Q1,1,2022,28.7,2.6,0.092,1123.0,2.1,1.6,0.626,0.057,0.5,0.039,0.056,12422.0,GVR
2021-Q4,4,2021,33.2,3.0,0.089,1063.0,1.9,1.7,0.605,0.054,0.5,-0.028,-0.224,11953.0,GVR
2021-Q3,3,2021,25.8,2.9,0.117,1371.0,2.1,1.6,0.62,0.069,0.5,0.016,0.049,12293.0,GVR
2021-Q2,2,2021,26.4,2.8,0.11,1307.0,2.0,1.6,0.613,0.067,0.5,0.012,0.073,12104.0,GVR
2021-Q1,1,2021,22.5,2.3,0.103,1217.0,1.9,1.7,0.605,0.062,0.5,0.009,0.138,11961.0,GVR
2020-Q4,4,2020,27.6,2.5,0.091,1069.0,1.8,1.7,0.595,0.054,0.6,0.054,0.392,11855.0,GVR
2020-Q3,3,2020,15.8,1.1,0.068,768.0,1.6,1.8,0.568,0.04,0.6,-0.032,0.001,11243.0,GVR
2020-Q2,2,2020,13.4,0.9,0.067,767.0,1.8,1.7,0.597,0.04,0.5,-0.006,-0.079,11611.0,GVR
2020-Q1,1,2020,9.4,0.7,0.072,833.0,1.9,1.6,0.607,0.043,0.5,0.008,0.005,11676.0,GVR
2019-Q4,4,2019,11.9,0.9,0.072,829.0,1.9,1.7,0.593,0.043,0.5,0.014,0.0,11589.0,GVR
2019-Q3,3,2019,15.4,1.1,0.074,829.0,1.9,1.7,0.601,0.044,0.5,-0.001,0.188,11423.0,GVR
2024-Q4,4,2024,6.3,1.4,0.258,3651.0,0.1,12.3,0.081,0.02,11.3,0.057,-0.018,16210.0,HDB
2024-Q3,3,2024,6.3,1.5,0.281,3717.0,0.1,11.7,0.085,0.023,10.7,0.014,0.078,15331.0,HDB
2024-Q2,2,2024,5.3,1.2,0.27,3447.0,0.1,11.8,0.085,0.022,10.8,0.063,0.086,15114.0,HDB
2024-Q1,1,2024,6.1,1.4,0.256,3173.0,0.1,12.1,0.082,0.021,11.1,0.071,0.101,14220.0,HDB
2023-Q4,4,2023,5.6,1.2,0.247,2881.0,0.1,13.0,0.077,0.02,12.0,0.078,0.19,13275.0,HDB
2023-Q3,3,2023,5.7,1.1,0.222,2421.0,0.1,11.8,0.085,0.019,10.8,0.063,0.058,12310.0,HDB
2023-Q2,2,2023,5.7,1.1,0.223,2288.0,0.1,12.0,0.084,0.018,11.0,-0.009,0.01,11581.0,HDB
2023-Q1,1,2023,5.6,1.1,0.226,2265.0,0.1,11.2,0.089,0.019,10.2,0.047,0.022,11681.0,HDB
2022-Q4,4,2022,4.7,0.9,0.235,2217.0,0.1,10.7,0.094,0.02,9.7,0.049,0.03,11157.0,HDB
2022-Q3,3,2022,5.9,1.2,0.24,2151.0,0.1,10.7,0.093,0.02,9.7,0.051,0.084,10632.0,HDB
2022-Q2,2,2022,6.4,1.3,0.234,1984.0,0.1,10.9,0.092,0.019,9.9,0.078,0.082,10119.0,HDB
2022-Q1,1,2022,8.2,1.6,0.231,1833.0,0.1,11.6,0.086,0.018,10.6,-0.118,-0.124,9387.0,HDB
2021-Q4,4,2021,9.7,1.9,0.233,2092.0,0.1,12.2,0.082,0.017,11.2,0.052,0.08,10644.0,HDB
2021-Q3,3,2021,13.1,2.5,0.226,1937.0,0.1,11.8,0.085,0.018,10.8,0.056,0.065,10119.0,HDB
2021-Q2,2,2021,15.6,3.0,0.224,1820.0,0.1,11.9,0.084,0.018,10.9,0.05,0.069,9586.0,HDB
2021-Q1,1,2021,12.4,2.3,0.223,1702.0,0.1,12.3,0.081,0.018,11.3,-0.07,0.008,9130.0,HDB
2020-Q4,4,2020,11.2,1.9,0.202,1689.0,0.1,12.9,0.077,0.015,11.9,0.034,-0.015,9821.0,HDB
2020-Q3,3,2020,8.9,1.6,0.215,1714.0,0.1,11.4,0.087,0.018,10.4,0.052,0.047,9496.0,HDB
2020-Q2,2,2020,7.3,1.3,0.216,1637.0,0.1,10.7,0.094,0.018,9.7,0.061,0.115,9022.0,HDB
2020-Q1,1,2020,5.9,1.0,0.205,1468.0,0.1,10.8,0.092,0.017,9.8,-0.169,-0.188,8503.0,HDB
2019-Q4,4,2019,7.4,1.3,0.208,1809.0,0.1,11.3,0.089,0.016,10.3,0.04,0.105,10230.0,HDB
2019-Q3,3,2019,8.2,1.4,0.198,1638.0,0.1,11.1,0.09,0.016,10.1,0.053,0.113,9835.0,HDB
2019-Q2,2,2019,9.1,1.4,0.186,1471.0,0.1,11.3,0.088,0.015,10.3,0.05,0.017,9338.0,HDB
2019-Q1,1,2019,10.0,1.6,0.184,1447.0,0.1,11.4,0.087,0.015,10.4,0.053,0.015,8891.0,HDB
2018-Q4,4,2018,10.3,1.7,0.191,1426.0,0.1,12.8,0.078,0.014,11.8,0.055,0.179,8446.0,HDB
2018-Q3,3,2018,15.6,2.4,0.189,1210.0,0.1,12.5,0.08,0.013,11.5,0.043,-0.081,8008.0,HDB
2018-Q2,2,2018,13.3,2.3,0.216,1316.0,0.1,12.5,0.08,0.015,11.5,-0.03,0.173,7680.0,HDB
2018-Q1,1,2018,19.1,2.7,0.183,1122.0,0.1,12.1,0.083,0.013,11.1,0.069,0.281,7920.0,HDB
2017-Q4,4,2017,,,0.149,876.0,0.1,12.8,0.078,0.01,11.8,0.383,-0.002,7408.0,HDB
2017-Q3,3,2017,,,0.177,878.0,0.1,16.4,0.061,0.011,15.3,0.002,0.687,5356.0,HDB
2017-Q2,2,2017,,,0.111,520.0,0.1,15.9,0.063,0.007,14.9,0.112,0.166,5345.0,HDB
2014-Q1,1,2014,,,0.026,92.0,0.1,8.8,0.113,0.003,7.8,0.003,-0.152,4330.0,HDB
2024-Q4,4,2024,14.5,1.5,0.111,1879.0,1.0,2.0,0.509,0.058,1.0,0.025,-0.014,17878.0,HPG
2024-Q3,3,2024,13.8,1.5,0.115,1905.0,1.1,1.9,0.528,0.063,0.9,0.028,0.091,17446.0,HPG
2024-Q2,2,2024,16.2,1.7,0.108,1745.0,1.1,1.9,0.526,0.058,0.9,0.029,0.2,16974.0,HPG
2024-Q1,1,2024,18.9,1.7,0.092,1455.0,1.1,1.9,0.523,0.049,0.9,0.027,0.362,16497.0,HPG
2023-Q4,4,2023,23.8,1.6,0.069,1068.0,1.2,1.8,0.547,0.038,0.8,0.03,2.654,16067.0,HPG
2023-Q3,3,2023,81.7,1.5,0.019,292.0,1.4,1.7,0.575,0.01,0.7,0.021,-1.98,15601.0,HPG
2023-Q2,2,2023,-79.7,1.6,-0.019,-298.0,1.2,1.8,0.555,-0.01,0.8,0.015,-3.874,15287.0,HPG
2023-Q1,1,2023,182.1,1.3,0.007,103.0,1.2,1.8,0.549,0.004,0.8,0.004,-0.922,15063.0,HPG
2022-Q4,4,2022,12.3,1.1,0.091,1326.0,1.3,1.8,0.564,0.049,0.8,-0.02,-0.526,15009.0,HPG
2022-Q3,3,2022,6.9,1.3,0.197,2798.0,1.1,1.9,0.533,0.1,0.9,-0.018,-0.404,15315.0,HPG
2022-Q2,2,2022,4.3,1.3,0.346,4694.0,0.9,2.1,0.481,0.164,1.1,0.01,-0.159,15601.0,HPG
2022-Q1,1,2022,5.6,2.0,0.433,5584.0,1.1,1.9,0.532,0.22,0.9,-0.009,-0.058,15448.0,HPG
2021-Q4,4,2021,5.9,2.3,0.461,5929.0,1.0,2.0,0.508,0.223,1.0,0.077,0.088,15585.0,HPG
2021-Q3,3,2021,7.3,2.8,0.456,5449.0,0.9,2.1,0.482,0.217,1.1,0.14,0.262,14469.0,HPG
2021-Q2,2,2021,9.0,3.1,0.398,4318.0,0.9,2.2,0.462,0.184,1.2,0.117,0.385,12691.0,HPG
2021-Q1,1,2021,8.4,2.3,0.313,3118.0,0.9,2.1,0.475,0.147,1.1,0.118,0.349,11357.0,HPG
2020-Q4,4,2020,10.0,2.3,0.252,2311.0,0.8,2.2,0.449,0.115,1.2,0.078,0.254,10157.0,HPG
2020-Q3,3,2020,8.0,1.6,0.213,1843.0,0.9,2.1,0.466,0.1,1.1,0.046,0.232,9423.0,HPG
2020-Q2,2,2020,8.2,1.4,0.18,1496.0,0.9,2.1,0.465,0.085,1.1,0.051,0.089,9012.0,HPG
2020-Q1,1,2020,5.6,0.9,0.174,1374.0,0.9,2.1,0.466,0.083,1.1,-0.194,-0.181,8578.0,HPG
2019-Q4,4,2019,8.4,1.3,0.17,1678.0,0.9,2.1,0.468,0.083,1.1,0.038,0.021,10642.0,HPG
2019-Q3,3,2019,8.0,1.3,0.174,1644.0,0.9,2.1,0.471,0.088,1.1,0.04,-0.081,10254.0,HPG
2019-Q2,2,2019,7.9,1.4,0.199,1789.0,0.9,2.1,0.474,0.103,1.1,0.048,-0.02,9862.0,HPG
2019-Q1,1,2019,8.2,1.6,0.214,1824.0,1.0,2.0,0.495,0.117,1.0,0.039,-0.048,9407.0,HPG
2018-Q4,4,2018,7.5,1.6,0.236,1916.0,1.1,1.9,0.517,0.131,0.9,0.041,-0.069,9050.0,HPG
2018-Q3,3,2018,9.5,2.3,0.267,2057.0,1.3,1.8,0.555,0.155,0.8,0.066,0.029,8697.0,HPG
2018-Q2,2,2018,8.9,2.2,0.301,1999.0,1.4,1.7,0.588,0.176,0.7,0.064,0.079,8160.0,HPG
2018-Q1,1,2018,10.8,2.6,0.298,1851.0,1.7,1.6,0.63,0.181,0.6,0.063,0.035,7669.0,HPG
2017-Q4,4,2017,8.6,2.1,0.308,1790.0,1.6,1.6,0.609,0.186,0.6,0.075,0.059,7218.0,HPG
2017-Q3,3,2017,7.6,1.9,0.315,1690.0,1.7,1.6,0.621,0.197,0.6,0.315,0.076,6714.0,HPG
2017-Q2,2,2017,6.7,2.1,0.349,1570.0,1.4,1.7,0.576,0.209,0.7,0.072,-0.065,5105.0,HPG
2017-Q1,1,2017,5.6,2.0,0.409,1679.0,1.4,1.7,0.576,0.241,0.7,0.079,0.138,4761.0,HPG
2016-Q4,4,2016,6.0,2.0,0.386,1475.0,1.5,1.7,0.594,0.225,0.7,0.099,0.265,4415.0,HPG
